person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,dti_ratio,interest_burden,Cluster,Default_Probability,Risk_Level,Home Ownership,Loan Purpose,Loan Grade,Default History,Actual Default Status,Cluster_Name,Income Group,Age Group
23,78000,2.0,19000,8.9,0.24,2,0.2435897435897435,169100.0,0,0.0062651155,Low Risk,RENT,VENTURE,A,N,No Default,Low Risk,Low Income,20-25
23,58000,1.0,4000,10.74,0.07,2,0.0689655172413793,42960.0,1,0.0066519175,Low Risk,RENT,VENTURE,B,N,No Default,Medium Risk,Low Income,20-25
24,31000,6.0,15075,15.27,0.49,2,0.4862903225806451,230195.25,0,0.99806064,High Risk,RENT,PERSONAL,C,Y,Default,Low Risk,Middle Income,20-25
32,18000,0.5002556288096969,1500,11.550035788033357,0.08,5,0.0833333333333333,17325.053682050035,1,0.9973687,High Risk,RENT,MEDICAL,B,N,Default,Medium Risk,Middle Income,20-25
32,31000,2.0,7400,16.77,0.24,6,0.2387096774193548,124098.0,1,0.9821114,High Risk,RENT,EDUCATION,D,N,Default,Medium Risk,Middle Income,25-30
23,36000,3.230216946244945,17095,14.594337442214535,0.47769783053755055,4,0.4748829405699866,248792.00405824845,0,0.9768058,High Risk,OWN,PERSONAL,C,N,Default,Low Risk,Middle Income,20-25
27,33600,5.0,5400,5.42,0.16,6,0.1607142857142857,29268.0,2,0.05989996,Low Risk,OWN,EDUCATION,A,N,No Default,High Risk,Middle Income,20-25
24,70526,2.5353169229407855,25309,11.725241907652828,0.36154894359019735,3,0.35880170849059073,296535.62570257456,0,0.9997366,High Risk,RENT,EDUCATION,B,N,Default,Low Risk,Low Income,20-25
25,63697,7.604776494984901,13601,14.888396462397926,0.21402047069279242,2,0.21342920054771786,201752.43670811292,0,0.9984281,High Risk,RENT,DEBTCONSOLIDATION,D,N,Default,Low Risk,Low Income,20-25
25,170000,4.0,20000,12.53,0.12,4,0.1176470588235294,250600.0,0,0.056130037,Low Risk,OWN,EDUCATION,B,N,No Default,Low Risk,High Income,20-25
31,26400,7.0,4200,10.99,0.16,9,0.1590909090909091,46158.0,1,0.061839696,Low Risk,RENT,PERSONAL,B,N,No Default,Medium Risk,Middle Income,25-30
28,11401,3.3812659183967435,1929,7.813394773929544,0.17298481275591043,5,0.1700958023251378,14099.16811622909,1,0.99996364,High Risk,RENT,HOMEIMPROVEMENT,A,N,Default,Medium Risk,Middle Income,20-25
23,57850,8.0,4000,10.99,0.07,2,0.0691443388072601,43960.0,1,0.12817013,Low Risk,MORTGAGE,EDUCATION,B,N,No Default,Medium Risk,Low Income,20-25
23,19200,0.0,3000,9.99,0.16,2,0.15625,29970.0,1,0.9958402,High Risk,RENT,PERSONAL,B,N,Default,Medium Risk,Middle Income,20-25
32,42000,4.0,5000,10.08,0.12,9,0.119047619047619,50400.0,1,0.2587847,Medium Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Upper Middle Income,25-30
23,51879,1.0,24954,13.244823800094894,0.48020019193624913,2,0.4810454152966648,330469.2705377858,0,0.9959139,High Risk,RENT,MEDICAL,C,N,Default,Low Risk,Upper Middle Income,20-25
23,62144,2.0,12000,17.567420167741293,0.19371008387064792,4,0.19339526038768207,210809.04201289554,1,0.9913312,High Risk,OTHER,DEBTCONSOLIDATION,E,N,Default,Medium Risk,Low Income,20-25
34,59000,0.0,4100,14.91,0.07,10,0.0694915254237288,61131.0,1,0.9843759,High Risk,RENT,EDUCATION,D,N,Default,Medium Risk,Low Income,25-30
41,49000,4.0,25000,17.04,0.51,13,0.5102040816326531,426000.0,0,0.9993356,High Risk,RENT,HOMEIMPROVEMENT,E,N,Default,Low Risk,Upper Middle Income,30-35
22,75000,4.0,9000,6.99,0.12,3,0.12,62910.0,2,0.0010628434,Low Risk,MORTGAGE,VENTURE,A,N,No Default,High Risk,Low Income,20-25
22,31000,3.0,10000,19.42,0.32,2,0.3225806451612903,194200.00000000003,0,0.99807054,High Risk,RENT,VENTURE,E,Y,Default,Low Risk,Middle Income,20-25
34,52800,2.0,4325,10.75,0.08,5,0.0819128787878787,46493.75,1,0.1314969,Low Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Upper Middle Income,25-30
33,45000,13.0,6800,11.22,0.15,6,0.1511111111111111,76296.0,1,0.11143747,Low Risk,RENT,EDUCATION,C,Y,Default,Medium Risk,Upper Middle Income,25-30
37,117300,12.0,10000,10.99,0.07,11,0.0852514919011082,109900.0,1,0.13323419,Low Risk,MORTGAGE,MEDICAL,A,N,Default,Medium Risk,High Income,25-30
22,41000,7.0,4000,7.51,0.1,3,0.0975609756097561,30040.0,2,0.07724191,Low Risk,RENT,PERSONAL,A,N,Default,High Risk,Upper Middle Income,20-25
25,60000,3.0,3000,13.47,0.05,3,0.05,40410.0,1,0.02327569,Low Risk,RENT,PERSONAL,C,Y,Default,Medium Risk,Low Income,20-25
39,60000,1.0,11025,10.59,0.18,12,0.18375,116754.75,1,0.020799428,Low Risk,RENT,MEDICAL,B,N,No Default,Medium Risk,Low Income,25-30
25,66300,6.0,20000,15.27,0.26,4,0.3016591251885369,305400.0,0,0.90405303,High Risk,MORTGAGE,MEDICAL,C,N,Default,Low Risk,Low Income,20-25
31,15204,4.0,1875,8.49,0.12,7,0.1233228097868981,15918.75,2,0.6490289,High Risk,RENT,EDUCATION,A,N,Default,High Risk,Middle Income,25-30
25,25000,5.0,2000,14.17,0.08,3,0.08,28340.0,1,0.45945045,Medium Risk,OWN,HOMEIMPROVEMENT,C,N,No Default,Medium Risk,Middle Income,20-25
22,66000,4.0,6000,9.99,0.09,4,0.0909090909090909,59940.0,2,0.038095914,Low Risk,RENT,EDUCATION,B,N,No Default,High Risk,Low Income,20-25
25,126000,9.0,10200,10.99,0.08,4,0.0809523809523809,112098.0,1,0.008306205,Low Risk,MORTGAGE,VENTURE,B,N,No Default,Medium Risk,High Income,20-25
36,45000,2.0,7000,7.14,0.16,14,0.1555555555555555,49980.0,2,0.02211134,Low Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,Upper Middle Income,25-30
26,50004,2.0,11000,13.87,0.22,4,0.2199824014078873,152570.0,1,0.22882129,Medium Risk,OWN,HOMEIMPROVEMENT,D,Y,No Default,Medium Risk,Upper Middle Income,20-25
24,45600,2.0,18250,13.35,0.4,4,0.400219298245614,243637.5,0,0.9971679,High Risk,RENT,VENTURE,C,N,Default,Low Risk,Upper Middle Income,20-25
24,88128,0.0,1950,9.99,0.02,2,0.0221269063180827,19480.5,2,0.24719128,Medium Risk,MORTGAGE,EDUCATION,B,N,Default,High Risk,High Income,20-25
22,32968,6.0,16500,8.9,0.5,4,0.5004853190973064,146850.0,0,0.1078075,Low Risk,OWN,EDUCATION,A,N,No Default,Low Risk,Middle Income,20-25
29,46500,5.0,2500,13.92,0.05,9,0.053763440860215,34800.0,1,0.039709803,Low Risk,RENT,VENTURE,C,Y,No Default,Medium Risk,Upper Middle Income,20-25
23,63273,4.966550780297663,5203,15.535863007599811,0.08,2,0.08231501966440623,80658.31814486298,1,0.99152946,High Risk,OTHER,EDUCATION,C,N,Default,Medium Risk,Low Income,20-25
28,31339,2.9138315676862714,10382,10.728526212947452,0.33,6,0.3313016650024561,111384.68934745851,0,0.9998827,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Middle Income,20-25
21,38400,0.0,4200,10.99,0.11,2,0.109375,46158.0,1,0.04468149,Low Risk,MORTGAGE,EDUCATION,A,N,No Default,Medium Risk,Middle Income,20-25
24,69145,0.5630361928086405,15000,16.706568755582765,0.21624642538127573,2,0.21694311460735344,250598.5313337415,0,0.9990953,High Risk,RENT,HOMEIMPROVEMENT,D,Y,Default,Low Risk,Low Income,20-25
45,47000,13.0,15000,16.4,0.32,11,0.3191489361702128,246000.0,0,0.9957461,High Risk,RENT,MEDICAL,E,Y,Default,Low Risk,Upper Middle Income,30-35
23,20539,5.30414749185774,3701,15.895775732464825,0.18,2,0.18030314115249044,58827.18894169387,1,0.94335246,High Risk,RENT,EDUCATION,D,N,Default,Medium Risk,Middle Income,20-25
28,34000,1.0,3000,15.7,0.09,10,0.088235294117647,47100.0,1,0.9944823,High Risk,RENT,PERSONAL,D,Y,Default,Medium Risk,Middle Income,20-25
26,42000,2.0,5000,11.91,0.12,4,0.119047619047619,59550.0,1,0.07568252,Low Risk,RENT,VENTURE,C,Y,No Default,Medium Risk,Upper Middle Income,20-25
30,16923,0.30936527451015694,4989,14.369593134052309,0.2969063472548984,6,0.29500008233218916,71698.0266338823,1,0.9994368,High Risk,OWN,MEDICAL,C,Y,Default,Medium Risk,Middle Income,20-25
31,124992,15.0,24000,8.49,0.19,7,0.1920122887864823,203760.0,0,0.00131884,Low Risk,MORTGAGE,VENTURE,A,N,No Default,Low Risk,High Income,25-30
23,55000,1.0,10000,10.75,0.18,4,0.1818181818181818,107500.0,1,0.039010085,Low Risk,MORTGAGE,EDUCATION,B,N,No Default,Medium Risk,Upper Middle Income,20-25
23,105000,5.0,15000,16.82,0.14,4,0.1428571428571428,252300.0,1,0.13782324,Low Risk,MORTGAGE,EDUCATION,E,Y,No Default,Medium Risk,High Income,20-25
23,64558,7.493294472669655,20739,11.100297366590972,0.32233236181674135,3,0.321550350986616,229338.76966805386,0,0.99985766,High Risk,RENT,PERSONAL,B,N,Default,Low Risk,Low Income,20-25
27,46989,0.0035509642342748116,23997,17.141941193781403,0.5100710192846855,5,0.5107120139590596,411362.13057854056,0,0.99926645,High Risk,RENT,DEBTCONSOLIDATION,E,N,Default,Low Risk,Middle Income,20-25
24,11918,1.7043292522504334,1000,14.140950299503896,0.08,5,0.08391068064100621,14140.950299503895,1,0.98209846,High Risk,RENT,MEDICAL,C,N,Default,Medium Risk,Middle Income,20-25
22,61101,5.820319779031458,16000,16.45,0.2222460027621068,3,0.26187581310084274,263200.0,0,0.99675936,High Risk,MORTGAGE,MEDICAL,E,N,Default,Low Risk,Low Income,20-25
30,19200,1.6125020231486755,1836,6.255417543364426,0.09183330635801767,7,0.09565969412293501,11320.131153727827,2,0.9786548,High Risk,RENT,PERSONAL,A,N,Default,High Risk,Middle Income,20-25
38,202000,2.0,15000,12.04,0.07,13,0.0742574257425742,180600.0,1,0.047122873,Low Risk,MORTGAGE,VENTURE,C,N,No Default,Medium Risk,High Income,25-30
22,69000,6.0,10000,15.62,0.14,3,0.144927536231884,156200.0,1,0.99244446,High Risk,MORTGAGE,DEBTCONSOLIDATION,D,N,Default,Medium Risk,Low Income,20-25
23,65004,5.0,7000,12.87,0.11,2,0.1076856808811765,90090.0,1,0.028093016,Low Risk,OWN,VENTURE,C,Y,No Default,Medium Risk,Low Income,20-25
25,33000,4.0,3600,10.0,0.11,3,0.109090909090909,36000.0,1,0.3721066,Medium Risk,RENT,MEDICAL,B,N,Default,Medium Risk,Middle Income,20-25
26,115000,5.0,6000,10.75,0.05,2,0.0521739130434782,64500.0,1,0.0053844093,Low Risk,MORTGAGE,VENTURE,B,N,No Default,Medium Risk,High Income,20-25
25,85000,7.0,5500,13.49,0.06,3,0.0647058823529411,74195.0,1,0.09760482,Low Risk,MORTGAGE,PERSONAL,C,N,No Default,Medium Risk,High Income,20-25
29,16416,0.43997099027622233,4219,13.639238292835387,0.25539898465966776,6,0.2573281397939272,57104.385205040875,1,0.99976236,High Risk,RENT,PERSONAL,B,N,Default,Medium Risk,Middle Income,20-25
32,95000,16.0,4000,7.49,0.04,8,0.0421052631578947,29960.0,2,0.040567048,Low Risk,RENT,HOMEIMPROVEMENT,A,N,No Default,High Risk,High Income,25-30
23,80000,2.0,9600,7.88,0.12,4,0.12,75648.0,2,0.015275948,Low Risk,RENT,PERSONAL,A,N,No Default,High Risk,High Income,20-25
24,55295,7.124736664029562,8781,9.806321100712019,0.15,5,0.15862139734350325,85082.8223750989,1,0.9958947,High Risk,OTHER,MEDICAL,A,N,Default,Medium Risk,Middle Income,20-25
36,35000,4.0,7500,16.29,0.21,16,0.2142857142857142,122175.0,1,0.3143375,Medium Risk,MORTGAGE,HOMEIMPROVEMENT,D,N,No Default,Medium Risk,Middle Income,25-30
25,46000,5.0,7000,10.25,0.15,3,0.1521739130434782,71750.0,1,0.20612504,Medium Risk,RENT,EDUCATION,B,N,No Default,Medium Risk,Upper Middle Income,20-25
23,60480,7.0,15000,10.83,0.25,2,0.248015873015873,162450.0,0,0.053233948,Low Risk,RENT,EDUCATION,B,N,No Default,Low Risk,Low Income,20-25
27,40834,10.171981530165995,4118,18.19050425923297,0.10354865058500289,4,0.10095604658908462,74517.41619297996,1,0.5723344,High Risk,RENT,PERSONAL,D,Y,Default,Medium Risk,Upper Middle Income,20-25
24,19931,1.3796191799764093,6603,15.284400917306252,0.33344904794994107,5,0.3313580934430731,100858.25425017982,0,0.999811,High Risk,OWN,MEDICAL,D,N,Default,Low Risk,Middle Income,20-25
25,45996,2.0,5000,10.99,0.11,4,0.108705104791721,54950.0,1,0.9975789,High Risk,RENT,DEBTCONSOLIDATION,G,Y,Default,Medium Risk,Upper Middle Income,20-25
25,115000,2.0,9000,7.51,0.08,3,0.0782608695652174,67590.0,2,0.031721964,Low Risk,RENT,HOMEIMPROVEMENT,A,N,No Default,High Risk,High Income,20-25
25,24187,0.8123952417460469,2837,15.931172478892075,0.12,3,0.11729201586084645,45182.47912970443,1,0.9962327,High Risk,MORTGAGE,DEBTCONSOLIDATION,D,N,Default,Medium Risk,Middle Income,20-25
22,55000,7.0,13500,9.67,0.25,4,0.2454545454545454,130545.0,0,0.20070365,Medium Risk,MORTGAGE,MEDICAL,B,N,No Default,Low Risk,Upper Middle Income,20-25
30,19783,1.48176180883148,2235,11.34229846657254,0.11554714573505562,6,0.11260618668819948,23912.216122674196,1,0.99469936,High Risk,OWN,DEBTCONSOLIDATION,B,N,Default,Medium Risk,Middle Income,20-25
22,70000,2.0,3000,7.29,0.04,4,0.0428571428571428,21870.0,2,0.018481072,Low Risk,RENT,PERSONAL,A,N,No Default,High Risk,Low Income,20-25
38,74000,21.0,4000,11.26,0.05,14,0.054054054054054,45040.0,1,0.08314978,Low Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Low Income,25-30
30,27538,3.6211411865341807,10000,10.345180541357614,0.36275771762693165,5,0.36313639889328725,103451.80541357615,0,0.9998363,High Risk,RENT,DEBTCONSOLIDATION,B,N,Default,Low Risk,Middle Income,20-25
28,35653,3.923833954264598,12000,7.420794465142153,0.33346027674289236,6,0.33662883499323076,89049.53358170584,0,0.9997273,High Risk,RENT,MEDICAL,A,N,Default,Low Risk,Middle Income,20-25
28,28800,1.0,12250,10.59,0.43,9,0.4253472222222222,129727.5,0,0.99785346,High Risk,RENT,VENTURE,B,N,Default,Low Risk,Middle Income,20-25
30,59497,4.0,17000,16.89,0.24,8,0.2857286922029682,287130.0,0,0.9923152,High Risk,MORTGAGE,MEDICAL,D,N,Default,Low Risk,Low Income,20-25
23,26763,4.368694411745272,9368,7.152366420607086,0.34843472058726366,2,0.35027939015618814,66782.55923827786,1,0.9994536,High Risk,RENT,EDUCATION,A,N,Default,Medium Risk,Middle Income,20-25
27,39996,5.0,9600,10.99,0.24,9,0.24002400240024,105504.0,1,0.326729,Medium Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Upper Middle Income,20-25
28,60000,2.0,12000,9.91,0.2,10,0.2,118920.0,2,0.0006631716,Low Risk,RENT,VENTURE,B,N,No Default,High Risk,Low Income,20-25
22,43241,2.2446269681674904,14400,10.99,0.32877686515916255,3,0.3330905853783323,158256.0,0,0.9997683,High Risk,RENT,DEBTCONSOLIDATION,B,N,Default,Low Risk,Upper Middle Income,20-25
21,45000,1.0,6800,5.79,0.15,3,0.1511111111111111,39372.0,2,0.044247556,Low Risk,RENT,PERSONAL,A,N,No Default,High Risk,Upper Middle Income,20-25
23,69996,8.0,13000,11.58,0.19,3,0.1857248985656323,150540.0,0,0.06346178,Low Risk,RENT,EDUCATION,B,N,No Default,Low Risk,Low Income,20-25
25,22224,9.326231671540613,9955,9.670426099707564,0.4443852639295051,4,0.4484202879230964,96255.53129032168,0,0.9994436,High Risk,RENT,PERSONAL,B,N,Default,Low Risk,Middle Income,20-25
21,11861,5.0,3419,15.037594267140157,0.28809593613689694,2,0.2890158477492825,51050.47968068448,1,0.99905676,High Risk,MORTGAGE,DEBTCONSOLIDATION,D,Y,Default,Medium Risk,Middle Income,20-25
24,51000,1.0,10000,11.83,0.2,2,0.196078431372549,118300.0,1,0.19930315,Low Risk,RENT,EDUCATION,B,N,No Default,Medium Risk,Upper Middle Income,20-25
23,40000,4.0,10000,12.84,0.25,4,0.25,128400.0,0,0.12348906,Low Risk,RENT,DEBTCONSOLIDATION,C,N,No Default,Low Risk,Upper Middle Income,20-25
40,16733,1.8453100000735088,2884,12.710751575068548,0.1723203499988974,9,0.17228437281192416,35833.81347748274,1,0.9998431,High Risk,OTHER,EDUCATION,B,N,Default,Medium Risk,Middle Income,25-30
24,29359,4.0,6435,15.842271084939082,0.22,4,0.2192450145489915,101952.52078384458,1,0.9919131,High Risk,RENT,DEBTCONSOLIDATION,D,Y,Default,Medium Risk,Middle Income,20-25
22,12000,0.0,6700,7.66,0.56,4,0.5583333333333333,51322.0,0,0.99997365,High Risk,RENT,HOMEIMPROVEMENT,A,N,Default,Low Risk,Middle Income,20-25
27,65000,4.0,28000,7.9,0.43,6,0.4307692307692308,221200.0,0,0.9935282,High Risk,RENT,EDUCATION,A,N,Default,Low Risk,Low Income,20-25
70,30000,0.0,1000,17.49,0.03,21,0.0333333333333333,17490.0,1,0.97726566,High Risk,RENT,DEBTCONSOLIDATION,D,Y,Default,Medium Risk,Middle Income,40-45
45,48000,8.0,8000,9.63,0.17,13,0.1666666666666666,77040.0,2,0.047138367,Low Risk,MORTGAGE,HOMEIMPROVEMENT,A,N,No Default,High Risk,Upper Middle Income,30-35
29,250000,5.0,10000,7.49,0.04,10,0.04,74900.0,2,0.027992286,Low Risk,MORTGAGE,PERSONAL,A,N,No Default,High Risk,High Income,20-25
22,52928,5.892681339525985,5914,12.18678369415751,0.10892681339525985,2,0.11177545083689837,71919.59171691988,1,0.9480008,High Risk,OWN,EDUCATION,C,N,Default,Medium Risk,Upper Middle Income,20-25
39,29280,0.0,1800,7.37,0.06,11,0.0614754098360655,13266.0,2,0.001894842,Low Risk,OWN,VENTURE,A,N,No Default,High Risk,Middle Income,25-30
31,36000,4.0,8000,10.65,0.22,6,0.2222222222222222,85200.0,1,0.12372774,Low Risk,RENT,MEDICAL,B,N,No Default,Medium Risk,Middle Income,25-30
31,238000,14.0,12000,14.09,0.05,10,0.0504201680672268,169080.0,1,0.80441535,High Risk,MORTGAGE,DEBTCONSOLIDATION,D,Y,Default,Medium Risk,High Income,25-30
22,25694,1.95428943658805,5000,10.99,0.19651429812196017,2,0.19485684630756336,54950.0,1,0.9918948,High Risk,RENT,MEDICAL,D,Y,Default,Medium Risk,Middle Income,20-25
39,50400,4.0,7000,11.86,0.14,11,0.1388888888888889,83020.0,1,0.24777989,Medium Risk,RENT,EDUCATION,D,N,No Default,Medium Risk,Upper Middle Income,25-30
22,23000,1.0,2800,21.74,0.12,4,0.1217391304347826,60871.99999999999,1,0.9957474,High Risk,RENT,MEDICAL,F,N,Default,Medium Risk,Middle Income,20-25
22,39198,1.0,15396,11.90101857778365,0.38792260056965,4,0.3926141640366658,182734.0634700934,0,0.99769056,High Risk,RENT,DEBTCONSOLIDATION,B,N,Default,Low Risk,Upper Middle Income,20-25
25,65000,0.0,15000,11.48,0.23,4,0.2307692307692307,172200.0,0,0.046126094,Low Risk,MORTGAGE,HOMEIMPROVEMENT,B,N,No Default,Low Risk,Low Income,20-25
23,50000,1.0,25000,7.9,0.5,3,0.5,197500.0,0,0.98930895,High Risk,RENT,DEBTCONSOLIDATION,A,N,Default,Low Risk,Upper Middle Income,20-25
21,40758,3.102864888074946,12051,15.161139178164401,0.2920572977614989,2,0.29570600194821606,182667.0967899472,0,0.9991351,High Risk,RENT,HOMEIMPROVEMENT,C,N,Default,Low Risk,Upper Middle Income,20-25
37,85000,5.0,35000,8.9,0.41,17,0.4117647058823529,311500.0,0,0.9910556,High Risk,RENT,DEBTCONSOLIDATION,A,N,Default,Low Risk,High Income,25-30
25,70000,2.0,14000,9.99,0.2,2,0.2,139860.0,0,0.054832216,Low Risk,RENT,HOMEIMPROVEMENT,B,N,No Default,Low Risk,Low Income,20-25
26,65000,10.0,8000,6.99,0.12,3,0.123076923076923,55920.0,2,0.044820204,Low Risk,MORTGAGE,HOMEIMPROVEMENT,A,N,No Default,High Risk,Low Income,20-25
29,63000,5.0,10000,15.33,0.16,7,0.1587301587301587,153300.0,1,0.17570691,Low Risk,RENT,PERSONAL,D,Y,No Default,Medium Risk,Low Income,20-25
32,60000,0.0,10000,12.42,0.17,9,0.1666666666666666,124200.0,1,0.008447193,Low Risk,RENT,PERSONAL,B,N,No Default,Medium Risk,Low Income,25-30
28,40000,2.0,7000,8.59,0.17,10,0.175,60130.0,2,0.03741292,Low Risk,RENT,PERSONAL,A,N,No Default,High Risk,Upper Middle Income,20-25
28,58100,4.0,10000,10.25,0.17,8,0.1721170395869191,102500.0,2,0.04192767,Low Risk,RENT,MEDICAL,B,N,No Default,High Risk,Low Income,20-25
30,49000,9.0,11750,8.9,0.24,9,0.2397959183673469,104575.0,2,0.20206396,Medium Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,Upper Middle Income,20-25
23,45000,7.0,9000,10.65,0.2,2,0.2,95850.0,1,0.077610284,Low Risk,RENT,EDUCATION,B,N,No Default,Medium Risk,Upper Middle Income,20-25
27,54590,9.0,8000,11.49,0.15,6,0.1465469866275874,91920.0,1,0.047380906,Low Risk,RENT,VENTURE,B,N,No Default,Medium Risk,Upper Middle Income,20-25
27,12000,0.0,8125,14.42,0.68,5,0.6770833333333334,117162.5,0,0.9981281,High Risk,OWN,EDUCATION,D,Y,Default,Low Risk,Middle Income,20-25
23,49153,5.302705686918569,6383,12.984485183378892,0.1276756856230619,2,0.12986740812250458,82773.2957852946,1,0.98741025,High Risk,MORTGAGE,MEDICAL,C,N,Default,Medium Risk,Upper Middle Income,20-25
24,54000,0.0,16000,15.65,0.3,4,0.2962962962962963,250400.0,0,0.9928531,High Risk,RENT,HOMEIMPROVEMENT,D,N,Default,Low Risk,Upper Middle Income,20-25
23,30280,5.0,5800,7.29,0.19,2,0.1915455746367239,42282.0,2,0.25652647,Medium Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,Middle Income,20-25
25,46000,9.0,7000,8.49,0.15,3,0.1521739130434782,59430.0,2,0.09923454,Low Risk,RENT,MEDICAL,A,N,No Default,High Risk,Upper Middle Income,20-25
36,59004,11.0,10000,7.51,0.17,15,0.1694800352518473,75100.0,2,0.0029970207,Low Risk,MORTGAGE,VENTURE,A,N,No Default,High Risk,Low Income,25-30
29,60000,13.0,6400,11.89,0.11,8,0.1066666666666666,76096.0,1,0.11153668,Low Risk,MORTGAGE,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Low Income,20-25
25,200000,0.0,24000,12.18,0.12,2,0.12,292320.0,0,0.0033543236,Low Risk,OWN,VENTURE,B,N,No Default,Low Risk,High Income,20-25
30,77283,3.9256627314454375,5781,13.02516447539034,0.07567550308593916,7,0.07460171886022708,70963.96860311802,1,0.9936107,High Risk,OTHER,HOMEIMPROVEMENT,C,N,Default,Medium Risk,Low Income,20-25
29,140000,12.0,24250,11.12,0.17,8,0.1732142857142857,269660.0,0,0.071700476,Low Risk,MORTGAGE,MEDICAL,B,N,No Default,Low Risk,High Income,20-25
28,132000,5.0,25000,9.99,0.19,10,0.1893939393939394,249750.0,0,0.04500888,Low Risk,MORTGAGE,DEBTCONSOLIDATION,B,N,No Default,Low Risk,High Income,20-25
29,52000,3.0,10800,14.27,0.21,5,0.2076923076923077,154116.0,1,0.3493101,Medium Risk,RENT,DEBTCONSOLIDATION,C,N,No Default,Medium Risk,Upper Middle Income,20-25
29,39000,10.0,9000,12.72,0.23,9,0.2307692307692307,114480.0,1,0.16787294,Low Risk,OWN,PERSONAL,C,Y,No Default,Medium Risk,Upper Middle Income,20-25
30,40000,2.6466930119392202,14700,10.912396838567293,0.3628741911641743,5,0.36751491726865254,160317.90704837634,0,0.99985385,High Risk,RENT,DEBTCONSOLIDATION,B,N,Default,Low Risk,Upper Middle Income,20-25
28,49161,0.32221981037166625,2838,11.940548440596416,0.056777801896283335,5,0.05780501425728022,33100.49902320052,1,0.99930346,High Risk,RENT,DEBTCONSOLIDATION,E,N,Default,Medium Risk,Upper Middle Income,20-25
26,24625,3.5002679142984885,9749,10.560166106865063,0.39749330214253775,5,0.3961159971658731,102727.62190100581,0,0.9999318,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Middle Income,20-25
24,45000,0.6339793145130272,14545,13.131018088479404,0.3209056847350186,2,0.3232285385944651,190981.2118828333,0,0.9998305,High Risk,RENT,PERSONAL,C,N,Default,Low Risk,Upper Middle Income,20-25
25,63000,9.0,20000,8.49,0.32,2,0.3174603174603174,169800.0,0,0.14424013,Low Risk,MORTGAGE,HOMEIMPROVEMENT,A,N,No Default,Low Risk,Low Income,20-25
35,38251,2.5138351022016456,12628,11.32438710200463,0.33256917551100823,8,0.33008828902705156,142799.40716735457,0,0.99986005,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Middle Income,25-30
31,35000,4.0,3425,13.43,0.1,7,0.0978571428571428,45997.75,1,0.04016822,Low Risk,RENT,VENTURE,C,Y,No Default,Medium Risk,Middle Income,25-30
25,64299,8.717439118591756,20673,14.334560094436597,0.32,3,0.3215097077366722,296186.73291458306,0,0.9997173,High Risk,RENT,DEBTCONSOLIDATION,D,N,Default,Low Risk,Low Income,20-25
23,47908,4.721457968992173,10000,16.36689476798449,0.20639271015503913,2,0.20879345729821275,163668.94767984492,1,0.9945799,High Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Upper Middle Income,20-25
31,33600,0.0,4000,11.49,0.12,5,0.119047619047619,45960.0,1,0.19345583,Low Risk,RENT,MEDICAL,B,N,No Default,Medium Risk,Middle Income,25-30
25,59082,9.164757060086682,6000,15.233295141201735,0.1,3,0.10155529062704519,91399.7708472104,1,0.13491851,Low Risk,OWN,VENTURE,C,N,Default,Medium Risk,Low Income,20-25
22,26274,0.8248338358492133,3912,13.14150755443372,0.14649667671698427,3,0.14913639794813105,51303.0821742077,1,0.9483703,High Risk,OWN,MEDICAL,C,N,Default,Medium Risk,Middle Income,20-25
23,22800,2.0,3000,8.9,0.13,2,0.131578947368421,26700.0,2,0.06707186,Low Risk,MORTGAGE,PERSONAL,A,N,Default,High Risk,Middle Income,20-25
26,53000,5.0,10000,8.59,0.19,4,0.1886792452830188,85900.0,2,0.06915943,Low Risk,RENT,DEBTCONSOLIDATION,A,N,No Default,High Risk,Upper Middle Income,20-25
22,30000,4.0,5000,11.12,0.17,2,0.1666666666666666,55599.99999999999,1,0.055709753,Low Risk,OWN,PERSONAL,B,N,No Default,Medium Risk,Middle Income,20-25
31,28552,1.5891144010948821,8996,12.917773064156933,0.3147029519963504,4,0.31510654416181266,116098.16159847085,0,0.99991536,High Risk,RENT,EDUCATION,B,N,Default,Low Risk,Middle Income,20-25
22,27996,4.0,5500,10.38,0.2,2,0.1964566366623803,57090.00000000001,1,0.15708882,Low Risk,MORTGAGE,MEDICAL,B,N,No Default,Medium Risk,Middle Income,20-25
28,56000,5.0,4800,16.45,0.09,7,0.0857142857142857,78960.0,1,0.95285875,High Risk,RENT,DEBTCONSOLIDATION,E,N,Default,Medium Risk,Low Income,20-25
